description	TRUE	dict+rule	Stanza	TJBatch	transformer-bert	spacy	ht-bert	fine-tuned-bert	whole-mask-bert
Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .	['Hendrix', 'Kathy', 'Etchingham']	['hendrix', 'kathy']	['Hendrix', 'Kathy Etchingham']	['kathy']	['Hendrix', 'Kathy', 'Etchingham']	['hendrix', 'kathy etchingham']	['Hendrix', 'Kathy', 'Etchingham']	['Hendrix', 'Kathy', 'Etchingham']	['Hendrix', 'Etchingham', 'Kathy', 'hendrix', 'kathy', 'etchingham']
They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .	['Hendrix']	['pearl', 'hendrix']	[]	['pearl']	['Hendrix']	['hendrix']	['Hendrix']	['Hendrix']	['Hendrix', 'hendrix']
The guitarist died of a drugs overdose in 1970 aged 27 .	[]	[]	[]	set()	[]	[]	[]	[]	[]
China says Taiwan spoils atmosphere for talks .	[]	[]	[]	['china']	[]	[]	[]	[]	[]
BEIJING 1996-08-22	[]	[]	[]	set()	[]	[]	[]	[]	[]
China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .	['Lien', 'Chan']	[]	['Lien Chan']	['china', 'lien', 'chan']	['Lien', 'Chan']	['lien chan']	['Lien', 'Chan']	['Lien', 'Chan']	['Lien', 'lien']
"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """	['Shen', 'Guofang']	[]	['Shen Guofang']	set()	['Shen', 'Guog']	['shen guofang']	['Shen', 'Guofang']	['Shen', 'Guofang']	['Shen', 'Guofang', 'shen', 'guofang']
State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .	['Tang', 'Shubei']	[]	['Tang Shubei']	['china']	['Tang', 'Shubei']	['tang shubei']	['Tang', 'Shubei']	['Tang', 'Shubei']	['Shubei', 'Tang', 'tang', 'shubei']
""" Now is the time for the two sides to engage in political talks ..."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying ."	['Tang']	[]	['Tang']	set()	['Tang']	['tang']	['Tang']	['Tang']	['Tang', 'tang']
The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .	['Tang']	['renegade']	['Shen', 'Tang']	set()	['Tang']	['shen', 'tang']	['Tang']	['Tang']	['Tang', 'tang']
China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .	['Lien']	[]	['Lien']	['china', 'lien']	['Lien']	['lien']	['Lien']	['Lien']	['Lien', 'lien']
China says time right for Taiwan talks .	[]	[]	[]	['china']	[]	[]	[]	[]	[]
BEIJING 1996-08-22	[]	[]	[]	set()	[]	[]	[]	[]	[]
China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .	[]	[]	[]	['china']	[]	[]	[]	[]	[]
Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .	['Tang', 'Shubei']	[]	['Tang Shubei']	set()	['Tang', 'Shubei']	['tang shubei']	['Tang', 'Shubei']	['Tang', 'Shubei']	['Shubei', 'Tang', 'tang', 'shubei']
German July car registrations up 14.2 pct yr / yr .	[]	[]	[]	set()	[]	[]	[]	[]	[]
FRANKFURT 1996-08-22	[]	[]	['FRANKFURT']	set()	[]	[]	[]	[]	[]
German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .	[]	[]	[]	set()	[]	[]	[]	[]	[]
The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .	[]	[]	[]	set()	[]	[]	[]	[]	[]
The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Motor-bike registration rose 32.7 percent in the period .	[]	[]	[]	['rose']	[]	[]	[]	[]	[]
The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Almost all German car manufacturers posted gains in registration numbers in the period .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Third was Ford with 35,563 registrations , or 11.7 percent .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Porsche 's registrations fell to 554 from 643 .	[]	[]	[]	set()	[]	[]	[]	[]	[]
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .	[]	[]	[]	set()	[]	[]	[]	[]	[]
ATHENS 1996-08-22	[]	[]	[]	set()	[]	[]	[]	[]	[]
The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .	['Costas', 'Simitis', 'Costas', 'Skandalidis']	[]	['Costas Simitis', 'Costas Skandalidis']	set()	['Costasmit', 'Simitis', 'Costaskan', 'Skandalid']	['costas simitis', 'costas skandalidis']	['Costas', 'Simitis', 'Costas', 'Skandalidis']	['Costas', 'Simitis', 'Costas', 'Skandalidis']	['Simitis', 'Costas', 'Skandalidis', 'costas', 'simitis', 'costas', 'skandalidis']
Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	['Costas', 'Simitis', 'Skandalidis']	[]	['Costas Simitis', 'Skandalidis']	set()	['Costasmit', 'Simitis', 'Skandalid']	['costas simitis', 'skandalidis']	['Costas', 'Simitis', 'Skandalidis']	['Costas', 'Simitis', 'Skandalidis']	['Simitis', 'Costas', 'Skandalidis', 'costas', 'simitis', 'skandalidis']
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	['Dimitris', 'Kontogiannis']	[]	['Dimitris Kontogiannis']	set()	['Dimitrisnto', 'Kontogiann']	['-- dimitris kontogiannis']	['Dimitris', 'Kontogiannis']	['Dimitris', 'Kontogiannis']	['Dimitris', 'Kontogiannis', 'dimitris', 'kontogiannis']
BayerVB sets C$ 100 million six-year bond .	[]	[]	[]	set()	[]	[]	[]	[]	[]
LONDON 1996-08-22	[]	[]	[]	['london']	[]	[]	[]	[]	[]
The following bond was announced by lead manager Toronto Dominion .	['Toronto', 'Dominion']	[]	[]	set()	['Toronto', 'Dominion']	[]	['Toronto', 'Dominion']	['Toronto', 'Dominion']	['Toronto', 'toronto']
BORROWER BAYERISCHE VEREINSBANK	[]	[]	[]	set()	[]	[]	[]	[]	[]
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02	[]	[]	[]	set()	[]	[]	[]	[]	[]
TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96	[]	[]	[]	set()	[]	[]	[]	[]	[]
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP	[]	[]	[]	set()	[]	[]	[]	[]	[]
MOODY AA1 LISTING LUX PAY FREQ =	[]	['lux']	[]	set()	[]	[]	[]	[]	[]
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA	[]	[]	[]	set()	[]	[]	[]	[]	[]
NEG PLG NO CRS DEFLT NO FORCE MAJ =	[]	[]	[]	set()	[]	[]	[]	[]	[]
GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD	[]	[]	[]	set()	[]	[]	[]	[]	[]
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =	[]	[]	[]	set()	[]	[]	[]	[]	[]
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001	[]	[]	[]	set()	[]	[]	[]	[]	[]
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER	[]	[]	[]	set()	[]	['bayerische vereinsbank']	[]	[]	[]
-- London Newsroom +44 171 542 7658	[]	[]	[]	['london']	[]	[]	[]	[]	[]
Venantius sets $ 300 million January 1999 FRN .	[]	[]	[]	set()	[]	[]	[]	[]	[]
LONDON 1996-08-22	[]	[]	[]	['london']	[]	[]	[]	[]	[]
The following floating-rate issue was announced by lead manager Lehman Brothers International .	[]	[]	[]	set()	[]	[]	[]	[]	[]
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY )	[]	[]	[]	set()	[]	[]	[]	[]	[]
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99	[]	[]	[]	set()	[]	[]	[]	[]	[]
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96	[]	[]	[]	set()	[]	[]	[]	[]	[]
LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP	[]	[]	[]	set()	[]	[]	[]	[]	[]
LAST S&P AA+ REOFFER =	[]	[]	[]	set()	[]	[]	[]	[]	[]
NOTES S SHORT FIRST COUPON	[]	[]	[]	set()	[]	[]	[]	[]	[]
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR	[]	[]	[]	['london']	[]	[]	[]	[]	[]
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2	[]	[]	[]	set()	[]	[]	[]	[]	[]
GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD	[]	[]	[]	set()	['S']	[]	[]	[]	[]
MGT / UND 5 BP SELL CONC 5 BP PRAECIP =	[]	[]	[]	set()	[]	[]	[]	[]	[]
NOTES ISSUED OFF EMTN PROGRAMME	[]	[]	[]	set()	[]	[]	[]	[]	[]
-- London Newsroom +44 171 542 8863	[]	[]	[]	['london']	[]	[]	[]	[]	[]
Port conditions update - Syria - Lloyds Shipping .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Port conditions from Lloyds Shipping Intelligence Service --	[]	[]	[]	set()	[]	[]	[]	[]	[]
LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Israel plays down fears of war with Syria .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Colleen Siegel	['Colleen', 'Siegel']	['colleen']	['Colleen Siegel']	['colleen']	['Colleenl', 'Siegel']	['colleen siegel']	['Colleen', 'Siegel']	['Colleen', 'Siegel']	['Colleen', 'Siegel', 'colleen', 'siegel']
JERUSALEM 1996-08-22	[]	[]	['JERUSALEM']	set()	[]	[]	[]	[]	[]
Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .	['Itamar', 'Rabinovich']	[]	['Itamar Rabinovich']	set()	['Itamar', 'Rabinovich']	['itamar rabinovich']	['Itamar', 'Rabinovich']	['Itamar', 'Rabinovich']	['Rabinovich', 'Itamar', 'itamar', 'rabinovich']
""" It appears to me the Syrian priority is still to negotiate ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
Rabinovich is winding up his term as ambassador .	['Rabinovich']	[]	['Rabinovich']	set()	['Rabinovich']	['rabinovich']	['Rabinovich']	['Rabinovich']	['Rabinovich', 'rabinovich']
He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .	['Eliahu', 'Ben-Elissar']	[]	['Eliahu Ben-Elissar']	set()	['Eliahu', 'Ben', '-', 'Elissar']	['eliahu ben', '-', 'elissar']	['Eliahu', 'Ben', 'Elissar']	['Eliahu', 'Ben', 'Elissar']	['Eliahu', 'eliahu', 'ben', '-', 'elissar']
Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .	[]	[]	[]	set()	[]	[]	[]	[]	[]
But it slammed Damascus for creating what it called a dangerous atmosphere .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .	[]	[]	[]	set()	[]	[]	[]	[]	[]
It said its arms purchases were for defensive purposes .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview ."	['Hafez', 'al-', 'Assad', 'David', 'Levy']	[]	['Hafez al- )', 'Assad', 'David Levy']	set()	['Hafez', 'al', 'Assad', 'David', 'Levy']	['hafez al- ) assad', 'david levy']	['Hafez', 'Assad', 'David', 'Levy']	['Hafez', 'al', 'Assad', 'David', 'Levy']	['Hafez', 'David', 'Assad', 'hafez', 'al', 'assad', 'david']
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .	['Benjamin', 'Netanyahu']	[]	['Benjamin Netanyahu']	set()	['Benjamin', 'Netanyahu']	['benjamin netanyahu']	['Benjamin', 'Netanyahu']	['Benjamin', 'Netanyahu']	['Netanyahu', 'Benjamin', 'benjamin', 'netanyahu']
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .	[]	[]	['Golan', 'Golan']	set()	[]	[]	[]	[]	[]
Peace talks between the two sides were last held in February .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" The voices coming out of Damascus are bad , not good ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
The media ...	[]	[]	[]	set()	[]	[]	[]	[]	[]
are full of expressions and declarations that must be worrying ...	[]	[]	[]	set()	[]	[]	[]	[]	[]
"this artificial atmosphere is very dangerous because those who spread it could become its prisoners , "" Levy said ."	['Levy']	[]	['Levy']	set()	['Levy']	['levy']	['Levy']	['Levy']	['Levy', 'levy']
""" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , "" he said . """	[]	[]	[]	set()	[]	[]	[]	[]	[]
We do not want a war , God forbid .	['God']	[]	[]	set()	['God']	['god']	['God']	['God']	['God', 'god']
"No one benefits from wars . """	[]	[]	[]	set()	[]	[]	[]	[]	[]
"Israel 's Channel Two television said Damascus had sent a "" calming signal "" to Israel ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
It gave no source for the report .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Netanyahu and Levy 's spokesmen said they could not confirm it .	['Netanyahu', 'Levy']	[]	['Netanyahu', 'Levy']	set()	['Netanyahu', 'Levy']	['netanyahu', 'levy']	['Netanyahu', 'Levy']	['Netanyahu', 'Levy']	['Netanyahu', 'netanyahu']
The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .	['Netanyahu']	['cairo']	['Netanyahu']	set()	['Netanyahu']	['netanyahu']	['Netanyahu']	['Netanyahu']	['Netanyahu', 'netanyahu']
Polish diplomat denies nurses stranded in Libya .	[]	[]	[]	set()	[]	[]	[]	[]	[]
TUNIS 1996-08-22	[]	[]	[]	set()	[]	[]	[]	[]	[]
A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" This is not true ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , "" the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone ."	['Tadeusz', 'Awdankiewicz']	[]	['Tadeusz Awdankiewicz']	set()	['Tadeusz', 'Awdankie']	['tadeusz awdankiewicz']	['Tadeusz', 'Awdankiewicz']	['Tadeusz', 'Awdankiewicz']	['Awdankiewicz', 'Tadeusz', 'tadeusz', 'awdankiewicz']
Poland 's labour ministry said this week it would send a team to Libya to investigate , but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .	['Awdankiewicz']	[]	[]	set()	['Awdankie']	['awdankiewicz']	['Awdankiewicz']	['Awdankiewicz']	['Awdankiewicz', 'awdankiewicz']
He said that there are an estimated 800 Polish nurses working in Libya .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Two Iranian opposition leaders meet in Baghdad .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Hassan Hafidh	['Hassan', 'Hafidh']	[]	['Hassan Hafidh']	set()	['Hassan', 'Hafidh']	['hassan hafidh']	['Hassan', 'Hafidh']	['Hassan', 'Hafidh']	['Hafidh', 'Hassan', 'hassan', 'hafidh']
BAGHDAD 1996-08-22	[]	[]	['BAGHDAD']	set()	[]	[]	[]	[]	[]
An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .	[]	[]	[]	set()	[]	[]	[]	[]	[]
A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .	['Massoud', 'Rajavi', 'Hassan', 'Rastegar']	['rebel']	['Massoud Rajavi', 'Hassan Rastegar']	set()	['Massoudvi', 'Rajavi', 'Hassan', 'Rastegar']	['khalq', 'massoud rajavi', 'hassan rastegar']	['Massoud', 'Rajavi']	['Massoud', 'Rajavi', 'Hassan', 'Rastegar']	['Rajavi', 'Massoud', 'Rastegar', 'Hassan', 'massoud', 'rajavi', 'hassan', 'rastegar']
""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , "" it said ."	[]	[]	['Rajavi']	set()	[]	['rajavi']	[]	[]	[]
"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" ."	[]	[]	['Khalq']	set()	[]	['mujahideen khalq']	[]	[]	[]
Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .	[]	[]	[]	set()	[]	[]	[]	[]	[]
PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .	[]	[]	[]	set()	[]	[]	['Gulf']	[]	[]
Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .	[]	[]	['Mujahideen Khalq']	set()	[]	['mujahideen khalq']	[]	[]	[]
It said about 100 Iraqi Kurds were killed or wounded in the attack .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .	[]	[]	[]	set()	[]	[]	[]	[]	[]
A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Saudi riyal rates steady in quiet summer trade .	[]	['summer']	[]	['summer']	[]	[]	[]	[]	[]
MANAMA 1996-08-22	[]	[]	['MANAMA']	set()	[]	[]	[]	[]	[]
The spot Saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade , dealers in the kingdom said .	[]	['summer']	[]	['summer']	[]	[]	[]	[]	[]
""" There were no changes in Saudi riyal rates ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"The market was very quiet because of summer holidays , "" one dealer said ."	[]	['summer']	[]	['summer']	[]	[]	[]	[]	[]
The spot riyal was put at 3.7504 / 06 to the dollar .	[]	[]	[]	set()	[]	[]	[]	[]	[]
One-month interbank deposits were at 5-1/2 , 3/8 percent , three months were 5-5/8 , 1/2 percent and six months were 5-3/4 , 5/8 percent .	[]	[]	[]	set()	[]	[]	[]	[]	[]
One-year funds were at six , 5-7/8 percent .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Israel approves Arafat 's flight to West Bank .	['Arafat']	['arafat']	['Arafat']	set()	['Arafat']	['arafat']	['Arafat']	['Arafat']	['Arafat', 'arafat']
JERUSALEM 1996-08-22	[]	[]	['JERUSALEM']	set()	[]	[]	[]	[]	[]
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .	['Yasser', 'Arafat', 'Arafat']	['arafat']	['Yasser Arafat', 'Arafat']	set()	['Yasserfa', 'Arafat', 'Arafat']	['yasser arafat', 'arafat']	['Yasser', 'Arafat', 'Arafat']	['Yasser', 'Arafat', 'Arafat']	['Yasser', 'Arafat', 'yasser', 'arafat', 'arafat']
""" The problem is over ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , "" Nabil Abu Rdainah told Reuters ."	['Nabil', 'Abu', 'Rdainah']	[]	['Nabil Abu Rdainah']	set()	['Nabil', 'Abu', 'Rdainah']	['nabil abu rdainah']	['Nabil', 'Abu', 'Rdainah']	['Nabil', 'Abu', 'Rdainah']	['Abu', 'Nabil', 'Rdainah', 'nabil', 'abu', 'rdainah']
