description	true_names
They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs which an anonymous Australian purchaser bought for pounds ( $ ) . 	['Hendrix']
The guitarist died of a drugs overdose in 1970 aged 27 . 	[]
China says Taiwan spoils atmosphere for talks . 	[]
BEIJING 1996-08-22 	[]
China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing . 	['Lien', 'Chan']
"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . "" "	['Shen', 'Guofang']
State media quoted China 's top negotiator with Taipei Tang Shubei as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks . 	['Tang', 'Shubei']
""" Now is the time for the two sides to engage in political talks ... "	[]
"that is to end the state of hostility "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying . "	['Tang']
The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan which Beijing considers a renegade province . 	['Tang']
China which has long opposed all Taipei efforts to gain greater international recognition was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien . 	['Lien']
China says time right for Taiwan talks . 	[]
BEIJING 1996-08-22 	[]
China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal . 	[]
Consultations should be held to set the time and format of the talks the official Xinhua news agency quoted Tang Shubei executive vice chairman of the Association for Relations Across the Taiwan Straits as saying late on Wednesday . 	['Tang', 'Shubei']
German July car registrations up 14.2 pct yr / yr . 	[]
FRANKFURT 1996-08-22 	[]
German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period the Federal office for motor vehicles said on Thursday . 	[]
The office said new cars were registered in July 1996 -- passenger cars and trucks . 	[]
The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 . 	[]
Motor-bike registration rose 32.7 percent in the period . 	[]
The growth was partly due to an increased number of Germans buying German cars abroad while manufacturers said that domestic demand was weak the federal office said . 	[]
Almost all German car manufacturers posted gains in registration numbers in the period . 	[]
Volkswagen AG won registrations slightly more than a quarter of the total . 	[]
Opel AG together with General Motors came in second place with registrations 16.4 percent of the overall figure . 	[]
Third was Ford with registrations or 11.7 percent . 	[]
Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July . 	[]
Seat posted registrations compared with 5522 registrations in July a year earlier . 	[]
Porsche 's registrations fell to 554 from 643 . 	[]
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS . 	[]
ATHENS 1996-08-22 	[]
The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections its general secretary Costas Skandalidis told reporters . 	['Costas', 'Simitis', 'Costas', 'Skandalidis']
Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday said Skandalidis . 	['Costas', 'Simitis', 'Skandalidis']
-- Dimitris Kontogiannis Athens Newsroom +301 3311812-4 	['Dimitris', 'Kontogiannis']
BayerVB sets C$ 100 million six-year bond . 	[]
LONDON 1996-08-22 	[]
The following bond was announced by lead manager Toronto Dominion . 	['Toronto', 'Dominion']
BORROWER BAYERISCHE VEREINSBANK 	[]
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02 	[]
TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96 	[]
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP 	[]
MOODY AA1 LISTING LUX PAY FREQ = 	[]
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA 	[]
NEG PLG NO CRS DEFLT NO FORCE MAJ = 	[]
GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD 	[]
MGT / UND 0.275 SELL CONC 1.60 PRAECIP = 	[]
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001 	[]
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER 	[]
-- London Newsroom +44 171 542 7658 	[]
Venantius sets $ 300 million January 1999 FRN . 	[]
LONDON 1996-08-22 	[]
The following floating-rate issue was announced by lead manager Lehman Brothers International . 	[]
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY ) 	[]
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99 	[]
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96 	[]
LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP 	[]
LAST S&P AA+ REOFFER = 	[]
NOTES S SHORT FIRST COUPON 	[]
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR 	[]
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2 	[]
GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD 	[]
MGT / UND 5 BP SELL CONC 5 BP PRAECIP = 	[]
NOTES ISSUED OFF EMTN PROGRAMME 	[]
-- London Newsroom +44 171 542 8863 	[]
Port conditions update - Syria - Lloyds Shipping . 	[]
Port conditions from Lloyds Shipping Intelligence Service -- 	[]
LATTAKIA Aug 10 - waiting time at Lattakia and Tartous presently 24 hours . 	[]
Israel plays down fears of war with Syria . 	[]
Colleen Siegel 	['Colleen', 'Siegel']
JERUSALEM 1996-08-22 	[]
Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup . 	[]
Itamar Rabinovich who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria told Israel Radio it looked like Damascus wanted to talk rather than fight . 	['Itamar', 'Rabinovich']
""" It appears to me the Syrian priority is still to negotiate . "	[]
"The Syrians are confused they are definitely tense but the general assessment here in Washington is that this is essentially a storm in a teacup "" he said . "	[]
Rabinovich is winding up his term as ambassador . 	['Rabinovich']
He will be replaced by Eliahu Ben-Elissar a former Israeli envoy to Egypt and right-wing Likud party politician . 	['Eliahu', 'Ben-Elissar']
Israel on Wednesday sent Syria a message via Washington saying it was committed to peace and wanted to open negotiations without preconditions . 	[]
But it slammed Damascus for creating what it called a dangerous atmosphere . 	[]
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile . 	[]
It said its arms purchases were for defensive purposes . 	[]
""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations "" Israeli Foreign Minister David Levy told Israel Radio in an interview . "	['Hafez', 'al-', 'Assad', 'David', 'Levy']
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war . 	['Benjamin', 'Netanyahu']
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions . 	[]
Peace talks between the two sides were last held in February . 	[]
""" The voices coming out of Damascus are bad not good . "	[]
The media ... 	[]
are full of expressions and declarations that must be worrying ... 	[]
"this artificial atmosphere is very dangerous because those who spread it could become its prisoners "" Levy said . "	['Levy']
""" We expect from Syria if its face is to peace that it will answer Israel 's message to enter peace negotiations because that is our goal "" he said . "" "	[]
We do not want a war God forbid . 	['God']
"No one benefits from wars . "" "	[]
"Israel 's Channel Two television said Damascus had sent a "" calming signal "" to Israel . "	[]
It gave no source for the report . 	[]
Netanyahu and Levy 's spokesmen said they could not confirm it . 	['Netanyahu', 'Levy']
The television also said that Netanyahu had sent messages to reassure Syria via Cairo the United States and Moscow . 	['Netanyahu']
Polish diplomat denies nurses stranded in Libya . 	[]
TUNIS 1996-08-22 	[]
A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country . 	[]
""" This is not true . "	[]
"Up to today we have no knowledge of any nurse stranded or kept in Libya without her will and we have not received any complaint "" the Polish embassy 's charge d'affaires in Tripoli Tadeusz Awdankiewicz told Reuters by telephone . "	['Tadeusz', 'Awdankiewicz']
Poland 's labour ministry said this week it would send a team to Libya to investigate but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries . 	['Awdankiewicz']
He said that there are an estimated 800 Polish nurses working in Libya . 	[]
Two Iranian opposition leaders meet in Baghdad . 	[]
Hassan Hafidh 	['Hassan', 'Hafidh']
BAGHDAD 1996-08-22 	[]
An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month . 	[]
A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds . 	['Massoud', 'Rajavi', 'Hassan', 'Rastegar']
""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan "" it said . "	[]
"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" . "	[]
Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad . 	[]
Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group . 	[]
PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War . 	[]
Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year . 	[]
Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days . 	[]
It said about 100 Iraqi Kurds were killed or wounded in the attack . 	[]
Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels . 	[]
A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops . 	[]
Saudi riyal rates steady in quiet summer trade . 	[]
MANAMA 1996-08-22 	[]
The spot Saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade dealers in the kingdom said . 	[]
""" There were no changes in Saudi riyal rates . "	[]
"The market was very quiet because of summer holidays "" one dealer said . "	[]
The spot riyal was put at 3.7504 / 06 to the dollar . 	[]
One-month interbank deposits were at 5-1/2 3/8 percent three months were 5-5/8 1/2 percent and six months were 5-3/4 5/8 percent . 	[]
One-year funds were at six 5-7/8 percent . 	[]
Israel approves Arafat 's flight to West Bank . 	['Arafat']
JERUSALEM 1996-08-22 	[]
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank ending a brief Israeli-PLO crisis an Arafat adviser said . 	['Yasser', 'Arafat', 'Arafat']
""" The problem is over . "	[]
"The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday "" Nabil Abu Rdainah told Reuters . "	['Nabil', 'Abu', 'Rdainah']
Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters . 	['Arafat', 'Shimon', 'Peres']
Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded . 	['Benjamin', 'Netanyahu', 'Arafat']
Arafat subsequently cancelled a meeting between Israeli and PLO officials on civilian affairs at the Allenby Bridge crossing between Jordan and the West Bank . 	['Arafat']
Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday after Israel lifted the ban because he had a busy schedule in Gaza and would not be free until Monday . 	['Abu', 'Rdainah', 'Arafat']
Arafat to meet Peres in Gaza after flight ban . 	['Arafat', 'Peres']
JERUSALEM 1996-08-22 	[]
Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister . 	['Yasser', 'Arafat', 'Shimon', 'Peres']
""" The meeting between Peres and Arafat will take place at Erez checkpoint in Gaza and not in Ramallah as planned "" Peres ' office said . "	['Peres', 'Arafat', 'Peres']
Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres . 	['Arafat', 'Peres']
Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres who he defeated in May elections of trying to undermine his Likud government 's authority to conduct peace talks . 	['Benjamin', 'Netanyahu', 'Peres']
Afghan UAE embassy says Taleban guards going home . 	[]
Hilary Gush 	['Hilary', 'Gush']
DUBAI 1996-08-22 	[]
Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days the Afghan embassy in Abu Dhabi said on Thursday . 	[]
""" Our ambassador is in touch with the UAE foreign ministry . "	[]
"Their return to Afghanistan will take place in two or three days "" an embassy official said . "	[]
""" The embassy is issuing them travel documents for their return to their homeland . "	[]
"There is no objection to their travel "" he added . "	[]
The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan . 	[]
The UAE said on Monday it would hand over the three to the International Red Crescent possibly last Tuesday . 	[]
It has since been silent on the issue . 	[]
"When asked whether the three guards would travel back to Kandahar or the Afghan capital Kabul the embassy official said : "" That has not been decided but possibly Kandahar . "" "	[]
Kandahar is the headquarters of the opposition Taleban militia . 	[]
Kabul is controlled by President Burhanuddin Rabbani 's government which Taleban is fighting to overthrow . 	['Burhanuddin', 'Rabbani']
The embassy official said the three men believed to be in their 20s were currently in Abu Dhabi . 	[]
He did not elaborate . 	[]
The Russians working for the Aerostan firm in the Russian republic of Tatarstan were taken hostage after a Taleban MiG-19 fighter forced their cargo plane to land in August 1995 . 	[]
Taleban said its shipment of ammunition from Albania was evidence of Russian military support for Rabbani 's government . 	['Rabbani']
Moscow said the crew 's nationality was coincidental . 	[]
Numerous diplomatic attempts to free the seven failed . 	[]
The Russians who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday left the UAE capital Abu Dhabi for home on Sunday . 	[]
Iraq 's Saddam meets Russia 's Zhirinovsky . 	['Saddam', 'Zhirinovsky']
BAGHDAD 1996-08-22 	[]
"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow official Iraqi newspapers said on Thursday . "	['Saddam', 'Hussein', 'Vladimir', 'Zhirinovsky']
""" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia "" the papers said . "	['Saddam', 'Hussein']
"They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) "" are calling for an immediate lifting of the embargo "" imposed on Iraq after its 1990 invasion of Kuwait . "	['Zhirinovsky', 'Saddam']
Zhirinovsky said on Tuesday he would press the Russian government to help end U.N. trade sanctions on Iraq and blamed Moscow for delaying establishment of good ties with Baghdad . 	['Zhirinovsky']
""" Our stand is firm namely we are calling on ( the Russian ) government to end the economic embargo on Iraq and resume trade ties between Russia and Iraq "" he told reporters . "	[]
Zhirinovsky visited Iraq twice in 1995 . 	['Zhirinovsky']
Last October he was invited to attend the referendum held on Iraq 's presidency which extended Saddam 's term for seven more years . 	['Saddam']
PRESS DIGEST - Iraq - Aug 22 . 	[]
BAGHDAD 1996-08-22 	[]
These are some of the leading stories in the official Iraqi press on Thursday . 	[]
Reuters has not verified these stories and does not vouch for their accuracy . 	[]
THAWRA 	[]
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky . 	['Saddam', 'Hussein', 'Vladimir', 'Zhirinovsky']
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November . 	[]
IRAQ 	[]
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf . 	[]
PRESS DIGEST - Lebanon - Aug 22 . 	[]
BEIRUT 1996-08-22 	[]
These are the leading stories in the Beirut press on Thursday . 	[]
Reuters has not verified these stories and does not vouch for their accuracy . 	[]
AN-NAHAR 	[]
- Confrontation is escalating between Hizbollah and the government . 	[]
- Prime Minister Hariri : Israeli threats do no serve peace . 	['Hariri']
AS-SAFIR 	[]
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon . 	['Berri']
- Parliamentary battle in Beirut .. 	[]
The three main lists have been prepared . 	[]
AL-ANWAR 	[]
- Continued criticism of law violation incidents -- which occurred in the Mount Lebanon elections last Sunday . 	[]
AD-DIYAR 	[]
- Financial negotiations between Lebanon and Pakistan . 	[]
- Hariri to step into the election battle with an incomplete list . 	['Hariri']
NIDA'A AL-WATAN 	[]
- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections . 	['Sfeir']
CME live and feeder cattle calls range mixed . 	[]
CHICAGO 1996-08-22 	[]
Early calls on CME live and feeder cattle futures ranged from 0.200 cent higher to 0.100 lower livestock analysts said . 	[]
The continued strong tone to cash cattle and beef markets should prompt further support . 	[]
Outlook for a bullish cattle-on-feed report is also expected to lend support and prompt some bull spreading analysts said . 	[]
However trade will likely be light and prices could drift on evening up ahead of the report . 	[]
Cash markets are also expected to be quiet after the record amount of feedlot cattle traded this week they said . 	[]
Kindercare says debt buy to hit Q1 results . 	[]
MONTGOMERY Ala . 	[]
1996-08-22 	[]
KinderCare Learning Centers Inc said on Thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter . 	[]
The company said that during the quarter which began June 1 it bought $ 30 million par value of its outstanding 10-3/8 percent senior notes due 2001 . 	[]
The notes were bought for $ 31.5 million . 	[]
"Philip Maslowe chief financial officer of the preschool and child care company said the buyback "" offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . "" "	['Philip', 'Maslowe']
RESEARCH ALERT - Lehman starts SNET . 	[]
-- Lehman analyst Blake Bath started Southern New England Telecommunciations Corp with an outperform rating his office said . 	['Blake', 'Bath']
-- The analyst set a 12-month price target of $ 45 and a fiscal 1996 year earnings estimate of $ 3.09 per share his office said . 	[]
-- The analyst also set an earnings estimate for the 1997 year but the figure was not immediately available . 	[]
-- Southern New England closed at 38-1/2 Wednesday . 	[]
-- E. Auchard Wall Street bureau 212-859-1736 	['E.', 'Auchard']
Gateway Data Sciences Q2 net rises . 	[]
PHOENIX 1996-08-22 	[]
Summary of Consolidated Financial Data 	[]
( In Thousands except per share data ) 	[]
Six Months Ended Quarter Ended 	[]
Jul 31 Jul 31 Jul 31 Jul 31 	[]
1996 1995 1996 1995 	[]
Income Statement Data : 	[]
Total Revenue $ $ $ $ 	[]
Software Revenue 	[]
Services Revenue 692 624 465 	[]
Operating Income 906 962 599 515 	[]
Net Income 821 512 565 301 	[]
Earnings Per Share 0.31 0.34 0.19 0.20 	[]
Jul 31 1996 Jan 31 1996 	[]
Balance Sheet Data : 	[]
Working Capital $ ( $ 881 ) 	[]
Cash and Cash Equivalents 93 	[]
Total Assets 	[]
Shareholders ' Equity ( ) 	[]
Greek socialists give PM green light for election . 	[]
ATHENS 1996-08-22 	[]
The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections its general secretary Costas Skandalidis told reporters on Thursday . 	['Costas', 'Simitis', 'Costas', 'Skandalidis']
Prime Minister Costas Simitis will make an official announcement after a cabinet meeting later on Thursday said Skandalidis . 	['Costas', 'Simitis', 'Skandalidis']
-- Dimitris Kontogiannis Athens Newsroom +301 3311812-4 	['Dimitris', 'Kontogiannis']
PRESS DIGEST - France - Le Monde Aug 22 . 	[]
PARIS 1996-08-22 	[]
These are leading stories in Thursday 's afternoon daily Le Monde dated Aug 23 . 	[]
FRONT PAGE 	[]
-- Africans seeking to renew or obtain work and residence rights say Prime Minister Alain Juppe 's proposals are insufficient as hunger strike enters 49th day in Paris church and Wednesday rally attracts sympathisers . 	['Alain', 'Juppe']
-- FLNC Corsican nationalist movement announces end of truce after last night 's attacks . 	[]
BUSINESS PAGES 	[]
-- Shutdown of Bally 's French factories points up shoe industry crisis with French manufacturers undercut by low-wage country competition and failure to keep abreast of trends . 	[]
-- Secretary general of the Sud-PTT trade union at France Telecom all the elements are in place for social unrest in the next few weeks . 	[]
-- Paris Newsroom +33 1 42 21 53 81 	[]
Well repairs to lift Heidrun oil output - Statoil . 	[]
OSLO 1996-08-22 	[]
Three plugged water injection wells on the Heidrun oilfield off mid-Norway will be reopened over the next month operator Den Norske Stats Oljeselskap AS ( Statoil ) said on Thursday . 	[]
The plugged wells have accounted for a dip of barrels per day ( bpd ) in Heidrun output to roughly bpd according to the company 's Status Weekly newsletter . 	[]
The wells will be reperforated and gravel will be pumped into the reservoir through one of the wells to avoid plugging problems in the future it said . 	[]
-- Oslo newsroom +47 22 42 50 41 	[]
Finnish April trade surplus 3.8 billion markka - NCB . 	[]
HELSINKI 1996-08-22 	[]
Finland 's trade surplus rose to 3.83 billion markka in April from 3.43 billion in March the National Customs Board ( NCB ) said in a statement on Thursday . 	[]
The value of exports fell one percent year-on-year in April and the value of imports fell two percent NCB said . 	[]
Trade balance ( million markka ) : 	[]
April ' 96 March ' 96 Jan-April ' 96 Jan-April ' 95 	[]
Imports 	[]
Exports 	[]
Balance 	[]
The January-April 1995 import figure was revised from million markka and the export figure from million markka . 	[]
The Bank of Finland earlier estimated the April trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion . 	[]
The NCB 's official monthly trade statistics are lagging behind due to changes in customs procedures when Finland joined the European Union at the start of 1995 . 	[]
-- Helsinki Newsroom +358 - 0 - 680 50 245 	[]
Dutch state raises tap sale price to 99.95 . 	[]
AMSTERDAM 1996-08-22 	[]
The Finance Ministry raised the price for tap sales of the Dutch government 's new 5.75 percent bond due September 2002 to 99.95 from 99.90 . 	[]
Tap sales began on Monday and are being held daily from 07.00 GMT to 15.00 GMT until further notice . 	[]
The ministry had raised 2.3 billion guilders from sales of the new bond by the close of trade on Wednesday . 	[]
-- Amsterdam newsroom +31 20 504 5000 	[]
German farm ministry tells consumers to avoid British mutton . 	[]
BONN 1996-08-22 	[]
Germany 's Agriculture Ministry suggested on Wednesday that consumers avoid eating meat from British sheep until scientists determine whether mad cow disease can be transmitted to the animals . 	[]
""" Until this is cleared up by the European Union 's scientific panels -- and we have asked this to be done as quickly as possible -- ( consumers ) should if at all possible give preference to sheepmeat from other countries "" ministry official Werner Zwingmann told ZDF television . "	['Werner', 'Zwingmann']
""" I do not want to say that there is a concrete danger for consumers "" he added . "" "	[]
"There are too many holes in what we know and these must be filled very quickly . "" "	[]
Bonn has led efforts to ensure consumer protection tops the list of priorities in dealing with the mad cow crisis which erupted in March when Britain acknowledged humans could contract a similar illness by eating contaminated beef . 	[]
The European Commission agreed this month to rethink a proposal to ban the use of suspect sheep tissue after some EU veterinary experts questioned whether it was justified . 	[]
EU Farm Commissioner Franz Fischler had proposed banning sheep brains spleens and spinal cords from the human and animal food chains after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease . 	['Franz', 'Fischler']
But some members of the EU 's standing veterinary committee questioned whether the action was necessary given the slight risk to human health . 	[]
The question is being studied separately by two EU scientific committees . 	[]
Sheep have long been known to contract scrapie a similar brain-wasting disease to BSE which is believed to have been transferred to cattle through feed containing animal waste . 	[]
British officials say sheep meat is perfectly safe to eat . 	[]
ZDF said Germany imported sheep from Britain last year nearly half of total imports . 	[]
It brought in tonnes of British mutton some 10 percent of overall imports . 	[]
After the British government admitted a possible link between mad cow disease and its fatal human equivalent the EU imposed a worldwide ban on British beef exports . 	[]
EU leaders agreed at a summit in June to a progressive lifting of the ban as Britain takes parallel measures to eradicate the disease . 	[]
GOLF - SCORES AT WORLD SERIES OF GOLF . 	[]
AKRON Ohio 1996-08-22 	[]
Scores from the $ 2.1 	[]
million NEC World Series of Golf after the first round 	[]
Thursday at the yard par 70 Firestone C.C course 	[]
( players U.S. unless stated ) : 	[]
66 Paul Goydos Billy Mayfair Hidemichi Tanaka ( Japan ) 	['Paul', 'Goydos', 'Billy', 'Mayfair', 'Hidemichi', 'Tanaka']
68 Steve Stricker 	['Steve', 'Stricker']
69 Justin Leonard Mark Brooks 	['Justin', 'Leonard', 'Mark', 'Brooks']
70 Tim Herron Duffy Waldorf Davis Love Anders Forsbrand 	['Tim', 'Herron', 'Duffy', 'Waldorf', 'Davis', 'Love', 'Anders', 'Forsbrand']
( Sweden ) Nick Faldo ( Britain ) John Cook Steve Jones Phil 	['Nick', 'Faldo', 'John', 'Cook', 'Steve', 'Jones', 'Phil']
Mickelson Greg Norman ( Australia ) 	['Mickelson', 'Greg', 'Norman']
71 Ernie Els ( South Africa ) Scott Hoch 	['Ernie', 'Els', 'Scott', 'Hoch']
72 Clarence Rose Loren Roberts Fred Funk Sven Struver 	['Clarence', 'Rose', 'Loren', 'Roberts', 'Fred', 'Funk', 'Sven', 'Struver']
