Peter I-PER
a 0
renegade 0
province 0
. 0

China 0
which 0
has 0
long 0
opposed 0
all 0
Taipei 0
efforts 0
to 0
gain 0
greater 0
international 0
recognition 0
was 0
infuriated 0
by 0
a 0
visit 0
to 0
Ukraine 0
this 0
week 0
by 0
Taiwanese 0
Vice 0
President 0
Lien I-PER
. 0

China 0
says 0
time 0
right 0
for 0
Taiwan 0
talks 0
. 0

BEIJING 0
1996-08-22 0

China 0
has 0
said 0
it 0
was 0
time 0
for 0
political 0
talks 0
with 0
Taiwan 0
and 0
that 0
the 0
rival 0
island 0
should 0
take 0
practical 0
steps 0
towards 0
that 0
goal 0
. 0

Consultations 0
should 0
be 0
held 0
to 0
set 0
the 0
time 0
and 0
format 0
of 0
the 0
talks 0
the 0
official 0
Xinhua 0
news 0
agency 0
quoted 0
Tang I-PER
Shubei I-PER
executive 0
vice 0
chairman 0
of 0
the 0
Association 0
for 0
Relations 0
Across 0
the 0
Taiwan 0
Straits 0
as 0
saying 0
late 0
on 0
Wednesday 0
. 0

German 0
July 0
car 0
registrations 0
up 0
14.2 0
pct 0
yr 0
/ 0
yr 0
. 0

FRANKFURT 0
1996-08-22 0

German 0
first-time 0
registrations 0
of 0
motor 0
vehicles 0
jumped 0
14.2 0
percent 0
in 0
July 0
this 0
year 0
from 0
the 0
year-earlier 0
period 0
the 0
Federal 0
office 0
for 0
motor 0
vehicles 0
said 0
on 0
Thursday 0
. 0

The 0
office 0
said 0
new 0
cars 0
were 0
registered 0
in 0
July 0
1996 0
-- 0
passenger 0
cars 0
and 0
trucks 0
. 0

The 0
figures 0
represent 0
a 0
13.6 0
percent 0
increase 0
for 0
passenger 0
cars 0
and 0
a 0
2.2 0
percent 0
decline 0
for 0
trucks 0
from 0
July 0
1995 0
. 0

Motor-bike 0
registration 0
rose 0
32.7 0
percent 0
in 0
the 0
period 0
. 0

The 0
growth 0
was 0
partly 0
due 0
to 0
an 0
increased 0
number 0
of 0
Germans 0
buying 0
German 0
cars 0
abroad 0
while 0
manufacturers 0
said 0
that 0
domestic 0
demand 0
was 0
weak 0
the 0
federal 0
office 0
said 0
. 0

Almost 0
all 0
German 0
car 0
manufacturers 0
posted 0
gains 0
in 0
registration 0
numbers 0
in 0
the 0
period 0
. 0

Volkswagen 0
AG 0
won 0
registrations 0
slightly 0
more 0
than 0
a 0
quarter 0
of 0
the 0
total 0
. 0

Opel 0
AG 0
together 0
with 0
General 0
Motors 0
came 0
in 0
second 0
place 0
with 0
registrations 0
16.4 0
percent 0
of 0
the 0
overall 0
figure 0
. 0

Third 0
was 0
Ford 0
with 0
registrations 0
or 0
11.7 0
percent 0
. 0

Only 0
Seat 0
and 0
Porsche 0
had 0
fewer 0
registrations 0
in 0
July 0
1996 0
compared 0
to 0
last 0
year 0
's 0
July 0
. 0

Seat 0
posted 0
registrations 0
compared 0
with 0
5522 0
registrations 0
in 0
July 0
a 0
year 0
earlier 0
. 0

Porsche 0
's 0
registrations 0
fell 0
to 0
554 0
from 0
643 0
. 0

GREEK 0
SOCIALISTS 0
GIVE 0
GREEN 0
LIGHT 0
TO 0
PM 0
FOR 0
ELECTIONS 0
. 0

ATHENS 0
1996-08-22 0

The 0
Greek 0
socialist 0
party 0
's 0
executive 0
bureau 0
gave 0
the 0
green 0
light 0
to 0
Prime 0
Minister 0
Costas I-PER
Simitis I-PER
to 0
call 0
snap 0
elections 0
its 0
general 0
secretary 0
Costas I-PER
Skandalidis I-PER
told 0
reporters 0
. 0

Prime 0
Minister 0
Costas I-PER
Simitis I-PER
is 0
going 0
to 0
make 0
an 0
official 0
announcement 0
after 0
a 0
cabinet 0
meeting 0
later 0
on 0
Thursday 0
said 0
Skandalidis I-PER
. 0

-- 0
Dimitris I-PER
Kontogiannis I-PER
Athens 0
Newsroom 0
+301 0
3311812-4 0

BayerVB 0
sets 0
C$ 0
100 0
million 0
six-year 0
bond 0
. 0

LONDON 0
1996-08-22 0

The 0
following 0
bond 0
was 0
announced 0
by 0
lead 0
manager 0
Toronto I-PER
Dominion I-PER
. 0

BORROWER 0
BAYERISCHE 0
VEREINSBANK 0

AMT 0
C$ 0
100 0
MLN 0
COUPON 0
6.625 0
MATURITY 0
24.SEP.02 0

TYPE 0
STRAIGHT 0
ISS 0
PRICE 0
100.92 0
PAY 0
DATE 0
24.SEP.96 0

FULL 0
FEES 0
1.875 0
REOFFER 0
99.32 0
SPREAD 0
+20 0
BP 0

MOODY 0
AA1 0
LISTING 0
LUX 0
PAY 0
FREQ 0
= 0

S&P 0
= 0
DENOMS 0
( 0
K 0
) 0
1-10-100 0
SALE 0
LIMITS 0
US 0
/ 0
UK 0
/ 0
CA 0

NEG 0
PLG 0
NO 0
CRS 0
DEFLT 0
NO 0
FORCE 0
MAJ 0
= 0

GOV 0
LAW 0
GERMAN 0
HOME 0
CTRY 0
= 0
TAX 0
PROVS 0
STANDARD 0

MGT 0
/ 0
UND 0
0.275 0
SELL 0
CONC 0
1.60 0
PRAECIP 0
= 0

UNDERLYING 0
GOVT 0
BOND 0
7.0 0
PCT 0
SEPT 0
2001 0

NOTES 0
BAYERISCHE 0
VEREINSBANK 0
IS 0
JOINT 0
LEAD 0
MANAGER 0

-- 0
London 0
Newsroom 0
+44 0
171 0
542 0
7658 0

Venantius 0
sets 0
$ 0
300 0
million 0
January 0
1999 0
FRN 0
. 0

LONDON 0
1996-08-22 0

The 0
following 0
floating-rate 0
issue 0
was 0
announced 0
by 0
lead 0
manager 0
Lehman 0
Brothers 0
International 0
. 0

BORROWER 0
VENANTIUS 0
AB 0
( 0
SWEDISH 0
NATIONAL 0
MORTGAGE 0
AGENCY 0
) 0

AMT 0
$ 0
300 0
MLN 0
SPREAD 0
- 0
12.5 0
BP 0
MATURITY 0
21.JAN.99 0

TYPE 0
FRN 0
BASE 0
3M 0
LIBOR 0
PAY 0
DATE 0
S23.SEP.96 0

LAST 0
MOODY 0
AA3 0
ISS 0
PRICE 0
99.956 0
FULL 0
FEES 0
10 0
BP 0

LAST 0
S&P 0
AA+ 0
REOFFER 0
= 0

NOTES 0
S 0
SHORT 0
FIRST 0
COUPON 0

LISTING 0
LONDON 0
DENOMS 0
( 0
K 0
) 0
1-10-100 0
SALE 0
LIMITS 0
US 0
/ 0
UK 0
/ 0
JP 0
/ 0
FR 0

NEG 0
PLG 0
YES 0
CRS 0
DEFLT 0
NO 0
FORCE 0
MAJ 0
IPMA 0
2 0

GOV 0
LAW 0
ENGLISH 0
HOME 0
CTRY 0
SWEDEN 0
TAX 0
PROVS 0
STANDARD 0

MGT 0
/ 0
UND 0
5 0
BP 0
SELL 0
CONC 0
5 0
BP 0
PRAECIP 0
= 0

NOTES 0
ISSUED 0
OFF 0
EMTN 0
PROGRAMME 0

-- 0
London 0
Newsroom 0
+44 0
171 0
542 0
8863 0

Port 0
conditions 0
update 0
- 0
Syria 0
- 0
Lloyds 0
Shipping 0
. 0

Port 0
conditions 0
from 0
Lloyds 0
Shipping 0
Intelligence 0
Service 0
-- 0

LATTAKIA 0
Aug 0
10 0
- 0
waiting 0
time 0
at 0
Lattakia 0
and 0
Tartous 0
presently 0
24 0
hours 0
. 0

Israel 0
plays 0
down 0
fears 0
of 0
war 0
with 0
Syria 0
. 0

Colleen I-PER
Siegel I-PER

JERUSALEM 0
1996-08-22 0

Israel 0
's 0
outgoing 0
peace 0
negotiator 0
with 0
Syria 0
said 0
on 0
Thursday 0
current 0
tensions 0
between 0
the 0
two 0
countries 0
appeared 0
to 0
be 0
a 0
storm 0
in 0
a 0
teacup 0
. 0

Itamar I-PER
Rabinovich I-PER
who 0
as 0
Israel 0
's 0
ambassador 0
to 0
Washington 0
conducted 0
unfruitful 0
negotiations 0
with 0
Syria 0
told 0
Israel 0
Radio 0
it 0
looked 0
like 0
Damascus 0
wanted 0
to 0
talk 0
rather 0
than 0
fight 0
. 0

" 0
It 0
appears 0
to 0
me 0
the 0
Syrian 0
priority 0
is 0
still 0
to 0
negotiate 0
. 0

The 0
Syrians 0
are 0
confused 0
they 0
are 0
definitely 0
tense 0
but 0
the 0
general 0
assessment 0
here 0
in 0
Washington 0
is 0
that 0
this 0
is 0
essentially 0
a 0
storm 0
in 0
a 0
teacup 0
" 0
he 0
said 0
. 0

Rabinovich I-PER
is 0
winding 0
up 0
his 0
term 0
as 0
ambassador 0
. 0

He 0
will 0
be 0
replaced 0
by 0
Eliahu I-PER
Ben-Elissar I-PER
a 0
former 0
Israeli 0
envoy 0
to 0
Egypt 0
and 0
right-wing 0
Likud 0
party 0
politician 0
. 0

Israel 0
on 0
Wednesday 0
sent 0
Syria 0
a 0
message 0
via 0
Washington 0
saying 0
it 0
was 0
committed 0
to 0
peace 0
and 0
wanted 0
to 0
open 0
negotiations 0
without 0
preconditions 0
. 0

But 0
it 0
slammed 0
Damascus 0
for 0
creating 0
what 0
it 0
called 0
a 0
dangerous 0
atmosphere 0
. 0

Syria 0
accused 0
Israel 0
on 0
Wednesday 0
of 0
launching 0
a 0
hysterical 0
campaign 0
against 0
it 0
after 0
Israeli 0
television 0
reported 0
that 0
Damascus 0
had 0
recently 0
test 0
fired 0
a 0
missile 0
. 0

It 0
said 0
its 0
arms 0
purchases 0
were 0
for 0
defensive 0
purposes 0
. 0

" 0
The 0
message 0
that 0
we 0
sent 0
to 0
( 0
Syrian 0
President 0
Hafez I-PER
al- I-PER
) 0
Assad I-PER
is 0
that 0
Israel 0
is 0
ready 0
at 0
any 0
time 0
without 0
preconditions 0
to 0
enter 0
peace 0
negotiations 0
" 0
Israeli 0
Foreign 0
Minister 0
David I-PER
Levy I-PER
told 0
Israel 0
Radio 0
in 0
an 0
interview 0
. 0

Tension 0
has 0
mounted 0
since 0
Israeli 0
Prime 0
Minister 0
Benjamin I-PER
Netanyahu I-PER
took 0
office 0
in 0
June 0
vowing 0
to 0
retain 0
the 0
Golan 0
Heights 0
Israel 0
captured 0
from 0
Syria 0
in 0
the 0
1967 0
Middle 0
East 0
war 0
. 0

Israeli-Syrian 0
peace 0
talks 0
have 0
been 0
deadlocked 0
over 0
the 0
Golan 0
since 0
1991 0
despite 0
the 0
previous 0
government 0
's 0
willingness 0
to 0
make 0
Golan 0
concessions 0
. 0

Peace 0
talks 0
between 0
the 0
two 0
sides 0
were 0
last 0
held 0
in 0
February 0
. 0

" 0
The 0
voices 0
coming 0
out 0
of 0
Damascus 0
are 0
bad 0
not 0
good 0
. 0

The 0
media 0
... 0

are 0
full 0
of 0
expressions 0
and 0
declarations 0
that 0
must 0
be 0
worrying 0
... 0

this 0
artificial 0
atmosphere 0
is 0
very 0
dangerous 0
because 0
those 0
who 0
spread 0
it 0
could 0
become 0
its 0
prisoners 0
" 0
Levy I-PER
said 0
. 0

" 0
We 0
expect 0
from 0
Syria 0
if 0
its 0
face 0
is 0
to 0
peace 0
that 0
it 0
will 0
answer 0
Israel 0
's 0
message 0
to 0
enter 0
peace 0
negotiations 0
because 0
that 0
is 0
our 0
goal 0
" 0
he 0
said 0
. 0
" 0

We 0
do 0
not 0
want 0
a 0
war 0
God I-PER
forbid 0
. 0

No 0
one 0
benefits 0
from 0
wars 0
. 0
" 0

Israel 0
's 0
Channel 0
Two 0
television 0
said 0
Damascus 0
had 0
sent 0
a 0
" 0
calming 0
signal 0
" 0
to 0
Israel 0
. 0

It 0
gave 0
no 0
source 0
for 0
the 0
report 0
. 0

Netanyahu I-PER
and 0
Levy I-PER
's 0
spokesmen 0
said 0
they 0
could 0
not 0
confirm 0
it 0
. 0

The 0
television 0
also 0
said 0
that 0
Netanyahu I-PER
had 0
sent 0
messages 0
to 0
reassure 0
Syria 0
via 0
Cairo 0
the 0
United 0
States 0
and 0
Moscow 0
. 0

Polish 0
diplomat 0
denies 0
nurses 0
stranded 0
in 0
Libya 0
. 0

TUNIS 0
1996-08-22 0

A 0
Polish 0
diplomat 0
on 0
Thursday 0
denied 0
a 0
Polish 0
tabloid 0
report 0
this 0
week 0
that 0
Libya 0
was 0
refusing 0
exit 0
visas 0
to 0
100 0
Polish 0
nurses 0
trying 0
to 0
return 0
home 0
after 0
working 0
in 0
the 0
North 0
African 0
country 0
. 0

" 0
This 0
is 0
not 0
true 0
. 0

Up 0
to 0
today 0
we 0
have 0
no 0
knowledge 0
of 0
any 0
nurse 0
stranded 0
or 0
kept 0
in 0
Libya 0
without 0
her 0
will 0
and 0
we 0
have 0
not 0
received 0
any 0
complaint 0
" 0
the 0
Polish 0
embassy 0
's 0
charge 0
d'affaires 0
in 0
Tripoli 0
Tadeusz I-PER
Awdankiewicz I-PER
told 0
Reuters 0
by 0
telephone 0
. 0

Poland 0
's 0
labour 0
ministry 0
said 0
this 0
week 0
it 0
would 0
send 0
a 0
team 0
to 0
Libya 0
to 0
investigate 0
but 0
Awdankiewicz I-PER
said 0
the 0
probe 0
was 0
prompted 0
by 0
some 0
nurses 0
complaining 0
about 0
their 0
work 0
conditions 0
such 0
as 0
non-payment 0
of 0
their 0
salaries 0
. 0

He 0
said 0
that 0
there 0
are 0
an 0
estimated 0
800 0
Polish 0
nurses 0
working 0
in 0
Libya 0
. 0

Two 0
Iranian 0
opposition 0
leaders 0
meet 0
in 0
Baghdad 0
. 0

Hassan I-PER
Hafidh I-PER

BAGHDAD 0
1996-08-22 0

An 0
Iranian 0
exile 0
group 0
based 0
in 0
Iraq 0
vowed 0
on 0
Thursday 0
to 0
extend 0
support 0
to 0
Iran 0
's 0
Kurdish 0
rebels 0
after 0
they 0
were 0
attacked 0
by 0
Iranian 0
troops 0
deep 0
inside 0
Iraq 0
last 0
month 0
. 0

A 0
Mujahideen 0
Khalq 0
statement 0
said 0
its 0
leader 0
Massoud I-PER
Rajavi I-PER
met 0
in 0
Baghdad 0
the 0
Secretary-General 0
of 0
the 0
Kurdistan 0
Democratic 0
Party 0
of 0
Iran 0
( 0
KDPI 0
) 0
Hassan I-PER
Rastegar I-PER
on 0
Wednesday 0
and 0
voiced 0
his 0
support 0
to 0
Iran 0
's 0
rebel 0
Kurds 0
. 0

" 0
Rajavi 0
emphasised 0
that 0
the 0
Iranian 0
Resistance 0
would 0
continue 0
to 0
stand 0
side 0
by 0
side 0
with 0
their 0
Kurdish 0
compatriots 0
and 0
the 0
resistance 0
movement 0
in 0
Iranian 0
Kurdistan 0
" 0
it 0
said 0
. 0

A 0
spokesman 0
for 0
the 0
group 0
said 0
the 0
meeting 0
" 0
signals 0
a 0
new 0
level 0
of 0
cooperation 0
between 0
Mujahideen 0
Khalq 0
and 0
the 0
Iranian 0
Kurdish 0
oppositions 0
" 0
. 0

Iran 0
heavily 0
bombarded 0
targets 0
in 0
northern 0
Iraq 0
in 0
July 0
in 0
pursuit 0
of 0
KDPI 0
guerrillas 0
based 0
in 0
Iraqi 0
Kurdish 0
areas 0
outside 0
the 0
control 0
of 0
the 0
government 0
in 0
Baghdad 0
. 0

Iraqi 0
Kurdish 0
areas 0
bordering 0
Iran 0
are 0
under 0
the 0
control 0
of 0
guerrillas 0
of 0
the 0
Iraqi 0
Kurdish 0
Patriotic 0
Union 0
of 0
Kurdistan 0
( 0
PUK 0
) 0
group 0
. 0

PUK 0
and 0
Iraq 0
's 0
Kurdistan 0
Democratic 0
Party 0
( 0
KDP 0
) 0
the 0
two 0
main 0
Iraqi 0
Kurdish 0
factions 0
have 0
had 0
northern 0
Iraq 0
under 0
their 0
control 0
since 0
Iraqi 0
forces 0
were 0
ousted 0
from 0
Kuwait 0
in 0
the 0
1991 0
Gulf 0
War 0
. 0

Clashes 0
between 0
the 0
two 0
parties 0
broke 0
out 0
at 0
the 0
weekend 0
in 0
the 0
most 0
serious 0
fighting 0
since 0
a 0
U.S.-sponsored 0
ceasefire 0
last 0
year 0
. 0

Mujahideen 0
Khalq 0
said 0
Iranian 0
troops 0
had 0
also 0
been 0
shelling 0
KDP 0
positions 0
in 0
Qasri 0
region 0
in 0
Suleimaniya 0
province 0
near 0
the 0
Iranian 0
border 0
over 0
the 0
last 0
two 0
days 0
. 0

It 0
said 0
about 0
100 0
Iraqi 0
Kurds 0
were 0
killed 0
or 0
wounded 0
in 0
the 0
attack 0
. 0

Both 0
Iran 0
and 0
Turkey 0
mount 0
air 0
and 0
land 0
strikes 0
at 0
targets 0
in 0
northern 0
Iraq 0
in 0
pursuit 0
of 0
their 0
own 0
Kurdish 0
rebels 0
. 0

A 0
U.S.-led 0
air 0
force 0
in 0
southern 0
Turkey 0
protects 0
Iraqi 0
Kurds 0
from 0
possible 0
attacks 0
by 0
Baghdad 0
troops 0
. 0

Saudi 0
riyal 0
rates 0
steady 0
in 0
quiet 0
summer 0
trade 0
. 0

MANAMA 0
1996-08-22 0

The 0
spot 0
Saudi 0
riyal 0
against 0
the 0
dollar 0
and 0
riyal 0
interbank 0
deposit 0
rates 0
were 0
mainly 0
steady 0
this 0
week 0
in 0
quiet 0
summer 0
trade 0
dealers 0
in 0
the 0
kingdom 0
said 0
. 0

" 0
There 0
were 0
no 0
changes 0
in 0
Saudi 0
riyal 0
rates 0
. 0

The 0
market 0
was 0
very 0
quiet 0
because 0
of 0
summer 0
holidays 0
" 0
one 0
dealer 0
said 0
. 0

The 0
spot 0
riyal 0
was 0
put 0
at 0
3.7504 0
/ 0
06 0
to 0
the 0
dollar 0
. 0

One-month 0
interbank 0
deposits 0
were 0
at 0
5-1/2 0
3/8 0
percent 0
three 0
months 0
were 0
5-5/8 0
1/2 0
percent 0
and 0
six 0
months 0
were 0
5-3/4 0
5/8 0
percent 0
. 0

One-year 0
funds 0
were 0
at 0
six 0
5-7/8 0
percent 0
. 0

Israel 0
approves 0
Arafat I-PER
's 0
flight 0
to 0
West 0
Bank 0
. 0

JERUSALEM 0
1996-08-22 0

Israel 0
gave 0
Palestinian 0
President 0
Yasser I-PER
Arafat I-PER
permission 0
on 0
Thursday 0
to 0
fly 0
over 0
its 0
territory 0
to 0
the 0
West 0
Bank 0
ending 0
a 0
brief 0
Israeli-PLO 0
crisis 0
an 0
Arafat I-PER
adviser 0
said 0
. 0

" 0
The 0
problem 0
is 0
over 0
. 0

The 0
president 0
's 0
aircraft 0
has 0
received 0
permission 0
to 0
pass 0
through 0
Israeli 0
airspace 0
but 0
the 0
president 0
is 0
not 0
expected 0
to 0
travel 0
to 0
the 0
West 0
Bank 0
before 0
Monday 0
" 0
Nabil I-PER
Abu I-PER
Rdainah I-PER
told 0
Reuters 0
. 0

Arafat I-PER
had 0
been 0
scheduled 0
to 0
meet 0
former 0
Israeli 0
prime 0
minister 0
Shimon I-PER
Peres I-PER
in 0
the 0
West 0
Bank 0
town 0
of 0
Ramallah 0
on 0
Thursday 0
but 0
the 0
venue 0
was 0
changed 0
to 0
Gaza 0
after 0
Israel 0
denied 0
flight 0
clearance 0
to 0
the 0
Palestinian 0
leader 0
's 0
helicopters 0
. 0

Palestinian 0
officials 0
accused 0
right-wing 0
Prime 0
Minister 0
Benjamin I-PER
Netanyahu I-PER
of 0
trying 0
to 0
stop 0
the 0
Ramallah 0
meeting 0
by 0
keeping 0
Arafat I-PER
grounded 0
. 0

Arafat I-PER
subsequently 0
cancelled 0
a 0
meeting 0
between 0
Israeli 0
and 0
PLO 0
officials 0
on 0
civilian 0
affairs 0
at 0
the 0
Allenby 0
Bridge 0
crossing 0
between 0
Jordan 0
and 0
the 0
West 0
Bank 0
. 0

